Fecha,Cantidad,tend,ciclo
2014-10-05,69,83.99486396193453,-14.994863961934527
2014-10-06,80,83.47412921927382,-3.47412921927382
2014-10-07,111,82.92384288328067,28.07615711671933
2014-10-08,56,82.34212198932019,-26.34212198932019
2014-10-09,90,81.74463117095542,8.255368829044585
2014-10-10,114,81.13057123550614,32.86942876449386
2014-10-11,60,80.50430259581023,-20.50430259581023
2014-10-12,67,79.89072905768337,-12.890729057683373
2014-10-13,47,79.30193923781889,-32.301939237818885
2014-10-14,88,78.74196504724898,9.258034952751018
2014-10-15,92,78.19464968498224,13.805350315017762
2014-10-16,99,77.6496226218727,21.350377378127305
2014-10-17,92,77.10514167272132,14.894858327278683
2014-10-18,79,76.57280863819042,2.4271913618095766
2014-10-19,50,76.07353460539687,-26.073534605396873
2014-10-20,70,75.62974765605864,-5.62974765605864
2014-10-21,78,75.24757991276537,2.7524200872346256
2014-10-22,80,74.92964490582168,5.070355094178325
2014-10-23,73,74.68027642808664,-1.6802764280866427
2014-10-24,73,74.50697724435325,-1.5069772443532514
2014-10-25,52,74.41619994664691,-22.416199946646913
2014-10-26,63,74.4134552662153,-11.413455266215294
2014-10-27,67,74.49024380933939,-7.49024380933939
2014-10-28,75,74.63093277275885,0.36906722724114616
2014-10-29,64,74.8152079508325,-10.815207950832502
2014-10-30,90,75.02298580493618,14.977014195063816
2014-10-31,70,75.22742329147653,-5.227423291476526
2014-11-01,87,75.411038000732,11.588961999267994
2014-11-02,79,75.55308038342397,3.446919616576025
2014-11-03,82,75.6400439915233,6.359956008476701
2014-11-04,77,75.6605767017613,1.3394232982386995
2014-11-05,50,75.60730136337453,-25.607301363374532
2014-11-06,82,75.47367796516099,6.526322034839012
2014-11-07,91,75.23716193256654,15.762838067433464
2014-11-08,104,74.87928764230884,29.12071235769116
2014-11-09,107,74.39144124489766,32.60855875510234
2014-11-10,80,73.78320933606639,6.216790663933608
2014-11-11,81,73.08455886077027,7.915441139229728
2014-11-12,74,72.32934225812951,1.6706577418704853
2014-11-13,65,71.55635911797634,-6.556359117976342
2014-11-14,87,70.80545319123163,16.194546808768365
2014-11-15,45,70.11237050436758,-25.112370504367576
2014-11-16,24,69.52297867561177,-45.52297867561177
2014-11-17,46,69.06745009162661,-23.06745009162661
2014-11-18,75,68.74750527740223,6.252494722597774
2014-11-19,68,68.55044760162144,-0.5504476016214426
2014-11-20,71,68.46748824216874,2.5325117578312586
2014-11-21,75,68.48949434717758,6.510505652822417
2014-11-22,58,68.60891588463005,-10.60891588463005
2014-11-23,39,68.82227188854125,-29.822271888541252
2014-11-24,65,69.11945082049839,-4.119450820498386
2014-11-25,99,69.47170222215827,29.52829777784173
2014-11-26,68,69.84770097841492,-1.8477009784149203
2014-11-27,69,70.23457716027346,-1.23457716027346
2014-11-28,71,70.6183060256275,0.38169397437249586
2014-11-29,70,70.98409122164549,-0.9840912216454853
2014-11-30,50,71.31737495422985,-21.317374954229848
2014-12-01,53,71.60298437226949,-18.60298437226949
2014-12-02,116,71.81242326530693,44.18757673469307
2014-12-03,78,71.90556855765202,6.094431442347982
2014-12-04,72,71.86991440907383,0.13008559092617134
2014-12-05,59,71.6967639989929,-12.696763998992907
2014-12-06,81,71.37750181032412,9.62249818967588
2014-12-07,92,70.89557684848297,21.104423151517025
2014-12-08,97,70.2404521802535,26.7595478197465
2014-12-09,98,69.41478113688939,28.58521886311061
2014-12-10,54,68.43794176703165,-14.437941767031646
2014-12-11,72,67.34717788111077,4.652822118889233
2014-12-12,72,66.17070957595281,5.829290424047187
2014-12-13,46,64.93966496220818,-18.939664962208184
2014-12-14,40,63.68881545704225,-23.688815457042253
2014-12-15,64,62.44109518701904,1.5589048129809626
2014-12-16,82,61.20463276904192,20.795367230958078
2014-12-17,57,59.98853113552241,-2.9885311355224076
2014-12-18,58,58.81489032339133,-0.8148903233913316
2014-12-19,72,57.70394253761984,14.296057462380162
2014-12-20,61,56.675410676726955,4.324589323273045
2014-12-21,50,55.75795267514572,-5.757952675145717
2014-12-22,64,54.982929335636214,9.017070664363786
2014-12-23,63,54.37810274053657,8.62189725946343
2014-12-24,27,53.97687064135016,-26.97687064135016
2014-12-25,23,53.8180194753675,-30.8180194753675
2014-12-26,38,53.92347513572828,-15.923475135728282
2014-12-27,52,54.29590225340013,-2.295902253400129
2014-12-28,32,54.92801328739081,-22.92801328739081
2014-12-29,58,55.81108575779973,2.188914242200269
2014-12-30,65,56.92206717642168,8.077932823578323
2014-12-31,53,58.23927312645279,-5.239273126452787
2015-01-01,38,59.74606789910394,-21.74606789910394
2015-01-02,63,61.422541239881994,1.577458760118006
2015-01-03,69,63.2351916018569,5.764808398143103
2015-01-04,85,65.15150334982368,19.848496650176315
2015-01-05,67,67.14256385382623,-0.14256385382623193
2015-01-06,70,69.19186579431482,0.8081342056851781
2015-01-07,75,71.28281274933107,3.7171872506689283
2015-01-08,52,73.39931338079518,-21.399313380795178
2015-01-09,88,75.52759959265899,12.472400407341013
2015-01-10,82,77.64052871801138,4.359471281988618
2015-01-11,41,79.71875334019575,-38.71875334019575
2015-01-12,81,81.74565071210674,-0.7456507121067375
2015-01-13,83,83.68039886580141,-0.6803988658014077
2015-01-14,100,85.48170980164167,14.51829019835833
2015-01-15,131,87.10787027069836,43.892129729301644
2015-01-16,126,88.52624095541626,37.473759044583744
2015-01-17,87,89.73161511932095,-2.7316151193209492
2015-01-18,61,90.74220712534095,-29.742207125340954
2015-01-19,85,91.57452407695517,-6.574524076955171
2015-01-20,110,92.22648419818921,17.773515801810788
2015-01-21,93,92.6918966355206,0.30810336447939335
2015-01-22,85,92.97567898280295,-7.975678982802947
2015-01-23,108,93.08294139849265,14.91705860150735
2015-01-24,78,93.01380924168183,-15.013809241681827
2015-01-25,76,92.77773103308857,-16.77773103308857
2015-01-26,100,92.3747716626549,7.625228337345106
2015-01-27,120,91.7945099384271,28.205490061572903
2015-01-28,113,91.03129043616232,21.968709563837677
2015-01-29,99,90.09708616290618,8.90291383709382
2015-01-30,110,89.01760056918172,20.982399430818276
2015-01-31,109,87.8241014266602,21.175898573339794
2015-02-01,60,86.56097050665716,-26.560970506657156
2015-02-02,89,85.28582451709644,3.7141754829035563
2015-02-03,95,84.03967955933533,10.960320440664674
2015-02-04,47,82.8658730944079,-35.8658730944079
2015-02-05,77,81.81459278362362,-4.814592783623624
2015-02-06,77,80.91361011760799,-3.9136101176079876
2015-02-07,60,80.18768746649673,-20.187687466496726
2015-02-08,41,79.65914119410199,-38.65914119410199
2015-02-09,78,79.33767035956939,-1.3376703595693868
2015-02-10,82,79.20881205879817,2.7911879412018266
2015-02-11,34,79.25726734371281,-45.25726734371281
2015-02-12,87,79.46948175870105,7.5305182412989495
2015-02-13,90,79.80361505606075,10.19638494393925
2015-02-14,89,80.22253356199064,8.777466438009355
2015-02-15,53,80.69547634327944,-27.695476343279438
2015-02-16,94,81.19716838323957,12.802831616760429
2015-02-17,101,81.68502499246887,19.31497500753113
2015-02-18,102,82.12446325132561,19.875536748674392
2015-02-19,90,82.49297209954783,7.507027900452172
2015-02-20,105,82.78046268734147,22.21953731265853
2015-02-21,65,82.98153805735024,-17.981538057350235
2015-02-22,47,83.1046884630382,-36.1046884630382
2015-02-23,105,83.14716569658366,21.852834303416344
2015-02-24,91,83.08365611987546,7.916343880124543
